found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan,vetoed_by_sat_v2,sharpness
JWST F115W,F115W_B3_0856085,150.21188946663725,2.53913668189474,-7.199034690856934,117.66179656982422,3984.24951171875,B3,False,True,False,True,False,True,True,True,True,False,0.6444368958473206
JWST F115W,F115W_B9_1181932,150.31172892206143,2.1861523775905973,-7.219972610473633,114.91883087158203,3933.516845703125,B9,False,True,False,True,False,True,False,True,True,False,0.6258269548416138
JWST F115W,F115W_A8_0532751,149.95806680643483,1.9042853514721707,-7.146058082580566,116.56896209716797,3916.751953125,A8,False,True,False,True,False,True,False,True,True,False,0.6452264189720154
JWST F115W,F115W_A1_0013617,149.73913014858877,2.169579047890618,-7.117936134338379,110.0055923461914,3899.247802734375,A1,False,True,False,True,False,True,True,True,True,False,0.6962572932243347
JWST F115W,F115W_A5_0379293,150.35035484338385,2.07493433101023,-7.209312915802002,117.0175552368164,3881.998291015625,A5,False,True,False,True,False,True,True,True,True,False,0.6825565099716187
JWST F115W,F115W_A9_0601223,150.16281896569217,1.8692641049563998,-7.206878662109375,110.63949584960938,3745.57177734375,A9,False,True,False,True,False,True,True,True,True,False,0.6112326383590698
JWST F115W,F115W_B10_0738575,150.48168793124051,2.2731739364497487,-6.933022499084473,110.65532684326172,3640.108154296875,B10,False,True,False,True,False,True,True,True,True,False,0.6987352967262268
JWST F115W,F115W_A9_0594005,150.21825502984368,1.8156492339130523,-7.80885648727417,106.1612319946289,3593.96533203125,A9,False,True,False,True,True,True,True,True,True,False,0.6891679167747498
JWST F115W,F115W_B9_1171222,150.33535560672095,2.1356443344739704,-7.119875431060791,103.0811996459961,3528.33056640625,B9,False,True,False,True,False,True,True,True,True,False,0.6994829773902893
JWST F115W,F115W_A9_0617129,150.13443990680935,1.9336437732261431,-7.265411376953125,101.18274688720703,3425.424560546875,A9,False,True,False,True,False,True,False,True,True,False,0.6849926710128784
JWST F115W,F115W_B2_0802451,150.06911139574873,2.633007091263011,-7.0307135581970215,99.2935562133789,3328.841796875,B2,False,True,False,True,False,True,False,True,True,False,0.6698211431503296
Euclid VIS,VIS_101541375_0451299,149.67533302664646,1.649521044179761,-4.031052112579346,4.220800876617432,3289.5703125,101541375,False,True,False,True,False,False,False,True,True,False,0.6811736226081848
JWST F115W,F115W_A8_0544521,150.0177486158269,1.9297882739114043,-7.132205963134766,97.46509552001953,3274.856201171875,A8,False,True,False,True,False,True,True,True,True,False,0.6678169965744019
JWST F115W,F115W_B9_1202449,150.3472299028819,2.2380579144948,-7.027520656585693,94.83646392822266,3246.12451171875,B9,False,True,False,True,False,True,False,True,True,False,0.6647419929504395
Euclid VIS,VIS_101544258_1278072,150.37549667430167,2.370831437302248,-4.159886360168457,4.508469104766846,3243.3583984375,101544258,True,True,True,True,False,False,True,True,True,False,0.6809461116790771
