seq,id,ra,dec,mag,tile,hstpng
203,127,150.095689,2.297610,20.80,077,sn_acs_only_0203_hst.png
204,64,150.115936,2.663324,20.81,101,sn_acs_only_0204_hst.png
205,231,150.095456,2.662272,22.50,101,sn_acs_only_0205_hst.png
206,160,150.101139,2.357580,20.29,077,sn_acs_only_0206_hst.png
207,264,150.093090,2.385128,20.90,077,sn_acs_only_0207_hst.png
208,122,150.097992,1.770622,18.47,029,sn_acs_only_0208_hst.png
209,177,150.084145,1.758809,20.29,029,sn_acs_only_0209_hst.png
210,247,150.071713,1.771734,20.91,029,sn_acs_only_0210_hst.png
211,76,150.115014,2.680314,23.76,101,sn_acs_only_0211_hst.png
212,203,150.103281,2.091938,21.99,053,sn_acs_only_0212_hst.png
213,209,150.107015,2.429159,20.89,077,sn_acs_only_0213_hst.png
214,230,150.104210,2.422496,23.02,077,sn_acs_only_0214_hst.png
215,310,150.094095,2.425265,23.92,077,sn_acs_only_0215_hst.png
216,331,150.086417,2.401777,23.40,077,sn_acs_only_0216_hst.png
217,67,150.132947,1.845876,21.77,041,sn_acs_only_0217_hst.png
218,136,150.100925,2.456703,22.66,077,sn_acs_only_0218_hst.png
219,167,150.111940,2.488112,21.27,089,sn_acs_only_0219_hst.png
220,308,150.115009,2.556840,21.44,089,sn_acs_only_0220_hst.png
221,36,150.108012,1.664937,22.51,029,sn_acs_only_0221_hst.png
222,55,150.108640,2.568519,23.33,089,sn_acs_only_0222_hst.png
223,250,150.138762,2.569968,21.05,089,sn_acs_only_0223_hst.png
224,297,150.151580,2.593711,22.14,089,sn_acs_only_0224_hst.png
225,365,150.162926,2.595919,21.47,089,sn_acs_only_0225_hst.png
226,14,150.114555,1.703021,19.90,029,sn_acs_only_0226_hst.png
227,300,150.136052,2.043724,24.03,053,sn_acs_only_0227_hst.png
228,303,150.132931,2.027945,23.10,053,sn_acs_only_0228_hst.png
229,233,150.142655,2.364642,22.16,077,sn_acs_only_0229_hst.png
230,254,150.136014,2.346304,24.17,077,sn_acs_only_0230_hst.png
231,124,150.164303,2.710695,23.43,101,sn_acs_only_0231_hst.png
232,116,150.165468,2.072569,24.21,053,sn_acs_only_0232_hst.png
233,215,150.149604,2.076201,19.28,053,sn_acs_only_0233_hst.png
234,402,150.133662,2.117328,21.39,053,sn_acs_only_0234_hst.png
235,219,150.154146,2.391577,23.89,077,sn_acs_only_0235_hst.png
236,111,150.184746,2.488590,22.44,089,sn_acs_only_0236_hst.png
237,192,150.170522,1.880745,21.85,041,sn_acs_only_0237_hst.png
238,228,150.184055,2.207969,23.55,065,sn_acs_only_0238_hst.png
239,75,150.201689,2.539169,22.11,089,sn_acs_only_0239_hst.png
240,78,150.201153,2.538713,24.20,089,sn_acs_only_0240_hst.png
241,66,150.169485,2.263798,18.96,065,sn_acs_only_0241_hst.png
242,160,150.191567,2.275120,21.92,065,sn_acs_only_0242_hst.png
243,162,150.181876,1.669219,19.96,029,sn_acs_only_0243_hst.png
244,250,150.194710,1.659119,19.53,029,sn_acs_only_0244_hst.png
245,260,150.194834,1.653391,20.78,029,sn_acs_only_0245_hst.png
246,298,150.171768,1.990361,21.48,053,sn_acs_only_0246_hst.png
247,405,150.167886,2.553730,21.98,089,sn_acs_only_0247_hst.png
248,88,150.211219,2.609260,20.87,089,sn_acs_only_0248_hst.png
249,261,150.187287,2.626781,23.81,089,sn_acs_only_0249_hst.png
250,245,150.186234,2.665939,21.21,101,sn_acs_only_0250_hst.png
251,125,150.225022,2.396949,24.03,077,sn_acs_only_0251_hst.png
252,247,150.209822,2.754161,21.63,101,sn_acs_only_0252_hst.png
253,259,150.208266,2.128836,23.10,065,sn_acs_only_0253_hst.png
254,295,150.203616,2.124682,20.66,053,sn_acs_only_0254_hst.png
255,181,150.226710,2.785708,24.17,100,sn_acs_only_0255_hst.png
256,110,150.249767,2.531143,23.87,088,sn_acs_only_0256_hst.png
257,316,150.219108,2.534773,21.96,089,sn_acs_only_0257_hst.png
258,240,150.233579,1.941815,23.02,040,sn_acs_only_0258_hst.png
259,264,150.228955,1.938646,22.21,040,sn_acs_only_0259_hst.png
260,162,150.237370,2.827110,23.86,112,sn_acs_only_0260_hst.png
261,328,150.218611,1.668450,22.35,029,sn_acs_only_0261_hst.png
262,178,150.238907,2.584377,21.13,088,sn_acs_only_0262_hst.png
263,329,150.226091,1.997998,24.33,052,sn_acs_only_0263_hst.png
264,243,150.242285,2.607524,19.57,088,sn_acs_only_0264_hst.png
265,259,150.244303,2.628366,21.74,100,sn_acs_only_0265_hst.png
266,293,150.234012,2.606324,20.45,088,sn_acs_only_0266_hst.png
267,290,150.241269,2.655070,22.13,100,sn_acs_only_0267_hst.png
268,360,150.227919,2.651206,22.01,100,sn_acs_only_0268_hst.png
269,327,150.259052,2.417821,21.17,076,sn_acs_only_0269_hst.png
270,320,150.250067,2.728490,24.27,100,sn_acs_only_0270_hst.png
271,298,150.259123,2.424681,22.43,076,sn_acs_only_0271_hst.png
272,137,150.280070,2.751908,23.82,100,sn_acs_only_0272_hst.png
273,315,150.271699,2.516635,21.49,088,sn_acs_only_0273_hst.png
274,410,150.264032,2.551004,24.19,088,sn_acs_only_0274_hst.png
275,412,150.268920,2.580366,23.50,088,sn_acs_only_0275_hst.png
276,87,150.323197,2.295428,22.72,076,sn_acs_only_0276_hst.png
277,37,150.270877,1.665305,20.62,028,sn_acs_only_0277_hst.png
278,185,150.296384,2.587176,21.84,088,sn_acs_only_0278_hst.png
279,442,150.274744,1.995596,20.00,052,sn_acs_only_0279_hst.png
280,223,150.303644,2.333258,23.45,076,sn_acs_only_0280_hst.png
281,294,150.287342,1.745923,22.02,028,sn_acs_only_0281_hst.png
282,328,150.299103,2.043253,22.71,052,sn_acs_only_0282_hst.png
283,142,150.329653,2.094653,20.22,052,sn_acs_only_0283_hst.png
284,181,150.328286,2.124957,22.30,052,sn_acs_only_0284_hst.png
285,189,150.326939,2.122440,18.96,052,sn_acs_only_0285_hst.png
286,350,150.304443,2.439537,24.38,076,sn_acs_only_0286_hst.png
287,361,150.306656,2.171653,20.12,064,sn_acs_only_0287_hst.png
288,210,150.329018,2.490326,20.76,088,sn_acs_only_0288_hst.png
289,294,150.317103,2.483531,21.89,088,sn_acs_only_0289_hst.png
290,56,150.362401,1.630738,21.57,028,sn_acs_only_0290_hst.png
291,57,150.362042,1.630122,22.91,028,sn_acs_only_0291_hst.png
292,138,150.351085,1.643201,18.99,028,sn_acs_only_0292_hst.png
293,155,150.351684,2.219557,24.17,064,sn_acs_only_0293_hst.png
294,176,150.347714,2.213463,22.02,064,sn_acs_only_0294_hst.png
295,294,150.332070,2.243246,23.11,064,sn_acs_only_0295_hst.png
296,197,150.345960,2.564103,19.50,088,sn_acs_only_0296_hst.png
297,228,150.349698,1.948301,22.30,040,sn_acs_only_0297_hst.png
298,34,150.377798,2.285159,22.32,064,sn_acs_only_0298_hst.png
299,117,150.338458,1.685798,21.24,028,sn_acs_only_0299_hst.png
300,69,150.372848,1.986033,23.05,052,sn_acs_only_0300_hst.png
301,101,150.369415,2.599694,22.67,088,sn_acs_only_0301_hst.png
302,14,150.386074,1.726329,23.42,028,sn_acs_only_0302_hst.png
303,243,150.354674,2.646566,23.08,100,sn_acs_only_0303_hst.png
304,170,150.359213,2.037567,20.73,052,sn_acs_only_0304_hst.png
305,283,150.390143,2.061828,22.87,052,sn_acs_only_0305_hst.png
306,313,150.353968,2.388605,22.35,076,sn_acs_only_0306_hst.png
307,140,150.369156,2.730431,21.15,100,sn_acs_only_0307_hst.png
308,123,150.383493,1.943567,23.37,040,sn_acs_only_0308_hst.png
309,424,150.381304,2.600080,22.26,088,sn_acs_only_0309_hst.png
310,51,150.430086,2.308754,21.32,075,sn_acs_only_0310_hst.png
311,89,150.424715,2.624241,22.12,087,sn_acs_only_0311_hst.png
312,364,150.385685,2.645897,20.62,100,sn_acs_only_0312_hst.png
313,352,150.403315,2.062384,23.96,051,sn_acs_only_0313_hst.png
314,382,150.396898,2.054559,19.44,051,sn_acs_only_0314_hst.png
315,401,150.396991,2.064154,21.15,051,sn_acs_only_0315_hst.png
316,178,150.430685,2.391544,22.02,075,sn_acs_only_0316_hst.png
317,106,150.439725,1.769645,22.01,027,sn_acs_only_0317_hst.png
318,299,150.421759,2.436223,22.58,075,sn_acs_only_0318_hst.png
319,327,150.432314,1.883908,22.45,039,sn_acs_only_0319_hst.png
320,51,150.466299,2.190409,21.59,063,sn_acs_only_0320_hst.png
321,85,150.465622,2.213241,20.57,063,sn_acs_only_0321_hst.png
322,153,150.456125,2.211111,24.10,063,sn_acs_only_0322_hst.png
323,89,150.460203,2.499367,20.88,087,sn_acs_only_0323_hst.png
324,172,150.449920,2.500125,22.39,087,sn_acs_only_0324_hst.png
325,427,150.425156,2.523697,23.23,087,sn_acs_only_0325_hst.png
326,12,150.427331,1.653715,22.31,027,sn_acs_only_0326_hst.png
327,79,150.475456,2.564137,22.96,087,sn_acs_only_0327_hst.png
328,121,150.471818,2.562448,21.35,087,sn_acs_only_0328_hst.png
329,48,150.482865,2.611273,21.19,087,sn_acs_only_0329_hst.png
330,51,150.486370,2.633747,23.85,099,sn_acs_only_0330_hst.png
331,333,150.442632,2.619232,20.85,087,sn_acs_only_0331_hst.png
332,200,150.474697,2.040138,24.33,051,sn_acs_only_0332_hst.png
333,165,150.477073,2.351440,24.22,075,sn_acs_only_0333_hst.png
334,353,150.444885,1.749645,20.33,027,sn_acs_only_0334_hst.png
335,212,150.482884,2.093174,22.43,051,sn_acs_only_0335_hst.png
336,257,150.492274,2.094217,22.47,051,sn_acs_only_0336_hst.png
337,317,150.505082,2.106669,21.26,051,sn_acs_only_0337_hst.png
338,107,150.494486,1.800541,23.86,039,sn_acs_only_0338_hst.png
339,393,150.465340,2.439570,22.25,075,sn_acs_only_0339_hst.png
340,89,150.514158,1.883304,19.97,039,sn_acs_only_0340_hst.png
341,147,150.502164,1.851889,20.99,039,sn_acs_only_0341_hst.png
342,279,150.488648,1.894736,20.53,039,sn_acs_only_0342_hst.png
343,72,150.511308,2.787107,21.83,099,sn_acs_only_0343_hst.png
344,75,150.514513,2.810169,21.21,111,sn_acs_only_0344_hst.png
345,113,150.510133,2.810030,19.51,111,sn_acs_only_0345_hst.png
346,135,150.506964,2.809135,23.36,111,sn_acs_only_0346_hst.png
347,137,150.506828,2.809478,22.34,111,sn_acs_only_0347_hst.png
348,332,150.479400,2.798366,23.27,111,sn_acs_only_0348_hst.png
349,398,150.474525,2.818562,24.22,111,sn_acs_only_0349_hst.png
350,356,150.484993,2.543001,20.87,087,sn_acs_only_0350_hst.png
351,42,150.525522,1.921301,19.71,039,sn_acs_only_0351_hst.png
352,64,150.520432,1.908807,19.42,039,sn_acs_only_0352_hst.png
353,137,150.524616,2.587347,22.17,087,sn_acs_only_0353_hst.png
354,147,150.522780,2.581910,24.08,087,sn_acs_only_0354_hst.png
355,359,150.497129,2.588605,18.73,087,sn_acs_only_0355_hst.png
356,57,150.536238,1.706031,23.80,027,sn_acs_only_0356_hst.png
357,218,150.510987,2.600200,20.87,087,sn_acs_only_0357_hst.png
