seq,id,ra,dec,mag,tile,hstpng
168,389550,149.943438,2.514596,21.08,090,sn_jwst_only_0168_hst.png
169,390224,149.994106,2.501763,19.32,090,sn_jwst_only_0169_hst.png
170,391524,149.930151,2.532943,20.51,090,sn_jwst_only_0170_hst.png
171,392500,149.929960,2.540390,18.93,090,sn_jwst_only_0171_hst.png
172,394470,149.918472,2.558088,19.74,090,sn_jwst_only_0172_hst.png
173,395083,149.959952,2.547138,22.48,090,sn_jwst_only_0173_hst.png
174,397922,149.966246,2.566290,20.73,090,sn_jwst_only_0174_hst.png
175,399901,149.975531,2.578774,19.96,090,sn_jwst_only_0175_hst.png
176,400081,149.992888,2.574096,21.77,090,sn_jwst_only_0176_hst.png
177,401995,149.938453,2.606951,22.41,090,sn_jwst_only_0177_hst.png
178,404146,150.026257,2.591297,18.91,090,sn_jwst_only_0178_hst.png
179,404349,149.946945,2.619686,20.33,090,sn_jwst_only_0179_hst.png
180,404350,149.948792,2.619279,19.36,090,sn_jwst_only_0180_hst.png
181,423868,150.106975,2.429147,20.62,077,sn_jwst_only_0181_hst.png
182,424094,150.055806,2.449603,21.19,078,sn_jwst_only_0182_hst.png
183,424193,150.073225,2.444165,19.39,077,sn_jwst_only_0183_hst.png
184,424778,149.998030,2.475632,21.19,090,sn_jwst_only_0184_hst.png
185,425096,150.105508,2.439000,20.08,077,sn_jwst_only_0185_hst.png
186,425110,150.035857,2.464603,22.27,090,sn_jwst_only_0186_hst.png
187,427431,150.100179,2.457386,20.89,077,sn_jwst_only_0187_hst.png
188,427433,150.100930,2.456697,21.10,077,sn_jwst_only_0188_hst.png
189,429673,150.123107,2.467733,21.44,089,sn_jwst_only_0189_hst.png
190,434327,150.029981,2.535658,19.87,090,sn_jwst_only_0190_hst.png
191,434341,150.030630,2.535728,21.19,090,sn_jwst_only_0191_hst.png
192,435831,150.059453,2.536150,21.73,089,sn_jwst_only_0192_hst.png
193,437873,150.031981,2.560814,19.58,090,sn_jwst_only_0193_hst.png
